team1,team2,id
Kings XI Punjab,Kolkata Knight Riders,16
Kolkata Knight Riders,Royal Challengers Bangalore,16
Mumbai Indians,Delhi Daredevils,15
Rajasthan Royals,Kolkata Knight Riders,14
Kings XI Punjab,Mumbai Indians,13
Royal Challengers Bangalore,Kings XI Punjab,13
Kolkata Knight Riders,Mumbai Indians,12
Mumbai Indians,Chennai Super Kings,12
Chennai Super Kings,Delhi Daredevils,11
Chennai Super Kings,Kolkata Knight Riders,11
Mumbai Indians,Royal Challengers Bangalore,11
Mumbai Indians,Rajasthan Royals,10
Delhi Daredevils,Royal Challengers Bangalore,10
Royal Challengers Bangalore,Mumbai Indians,10
Kolkata Knight Riders,Delhi Daredevils,10
Delhi Daredevils,Kings XI Punjab,10
Chennai Super Kings,Royal Challengers Bangalore,10
Chennai Super Kings,Mumbai Indians,10
Kings XI Punjab,Delhi Daredevils,10
Mumbai Indians,Kolkata Knight Riders,9
Delhi Daredevils,Rajasthan Royals,9
Delhi Daredevils,Kolkata Knight Riders,9
Royal Challengers Bangalore,Chennai Super Kings,9
Royal Challengers Bangalore,Delhi Daredevils,9
Chennai Super Kings,Kings XI Punjab,9
Royal Challengers Bangalore,Rajasthan Royals,9
Chennai Super Kings,Rajasthan Royals,9
Chennai Super Kings,Deccan Chargers,8
Kings XI Punjab,Chennai Super Kings,8
Deccan Chargers,Royal Challengers Bangalore,8
Kings XI Punjab,Rajasthan Royals,8
Rajasthan Royals,Chennai Super Kings,8
Deccan Chargers,Delhi Daredevils,8
Kings XI Punjab,Royal Challengers Bangalore,7
Sunrisers Hyderabad,Rajasthan Royals,7
Sunrisers Hyderabad,Kolkata Knight Riders,7
Rajasthan Royals,Royal Challengers Bangalore,7
Deccan Chargers,Kings XI Punjab,7
Kolkata Knight Riders,Deccan Chargers,7
Deccan Chargers,Rajasthan Royals,7
Rajasthan Royals,Delhi Daredevils,7
Rajasthan Royals,Kings XI Punjab,7
Mumbai Indians,Kings XI Punjab,7
Sunrisers Hyderabad,Kings XI Punjab,6
Sunrisers Hyderabad,Delhi Daredevils,6
Sunrisers Hyderabad,Mumbai Indians,6
Rajasthan Royals,Mumbai Indians,6
Sunrisers Hyderabad,Royal Challengers Bangalore,6
Kolkata Knight Riders,Kings XI Punjab,5
Delhi Daredevils,Chennai Super Kings,5
Kolkata Knight Riders,Sunrisers Hyderabad,5
Deccan Chargers,Mumbai Indians,5
Gujarat Lions,Sunrisers Hyderabad,5
Mumbai Indians,Deccan Chargers,5
Kolkata Knight Riders,Chennai Super Kings,5
Delhi Daredevils,Mumbai Indians,5
Delhi Daredevils,Sunrisers Hyderabad,4
Pune Warriors,Kings XI Punjab,4
Pune Warriors,Delhi Daredevils,4
Royal Challengers Bangalore,Gujarat Lions,4
Mumbai Indians,Sunrisers Hyderabad,4
Royal Challengers Bangalore,Kolkata Knight Riders,4
Delhi Daredevils,Rising Pune Supergiants,4
Royal Challengers Bangalore,Sunrisers Hyderabad,4
Gujarat Lions,Delhi Daredevils,4
Royal Challengers Bangalore,Pune Warriors,4
Kings XI Punjab,Sunrisers Hyderabad,4
Kings XI Punjab,Gujarat Lions,4
Chennai Super Kings,Pune Warriors,4
Sunrisers Hyderabad,Chennai Super Kings,3
Sunrisers Hyderabad,Rising Pune Supergiants,3
Rising Pune Supergiants,Kolkata Knight Riders,3
Rising Pune Supergiants,Mumbai Indians,3
Rising Pune Supergiants,Royal Challengers Bangalore,3
Delhi Daredevils,Deccan Chargers,3
Royal Challengers Bangalore,Deccan Chargers,3
Pune Warriors,Rajasthan Royals,3
Pune Warriors,Mumbai Indians,3
Kolkata Knight Riders,Gujarat Lions,3
Kings XI Punjab,Deccan Chargers,3
Kolkata Knight Riders,Pune Warriors,3
Deccan Chargers,Pune Warriors,3
Chennai Super Kings,Sunrisers Hyderabad,3
Mumbai Indians,Rising Pune Supergiants,3
Mumbai Indians,Pune Warriors,3
Rising Pune Supergiants,Gujarat Lions,3
Deccan Chargers,Chennai Super Kings,2
Sunrisers Hyderabad,Pune Warriors,2
Chennai Super Kings,Kochi Tuskers Kerala,2
Deccan Chargers,Kolkata Knight Riders,2
Rising Pune Supergiants,Kings XI Punjab,2
Kochi Tuskers Kerala,Kolkata Knight Riders,2
Delhi Daredevils,Kochi Tuskers Kerala,2
Delhi Daredevils,Pune Warriors,2
Rajasthan Royals,Deccan Chargers,2
Kochi Tuskers Kerala,Royal Challengers Bangalore,2
Kings XI Punjab,Rising Pune Supergiants,2
Pune Warriors,Kolkata Knight Riders,2
Kings XI Punjab,Pune Warriors,2
Pune Warriors,Chennai Super Kings,2
Gujarat Lions,Mumbai Indians,2
Rajasthan Royals,Pune Warriors,2
Mumbai Indians,Gujarat Lions,2
Gujarat Lions,Royal Challengers Bangalore,1
Kochi Tuskers Kerala,Rajasthan Royals,1
Kochi Tuskers Kerala,Kings XI Punjab,1
Kolkata Knight Riders,Rising Pune Supergiants,1
Deccan Chargers,Kochi Tuskers Kerala,1
Gujarat Lions,Rising Pune Supergiants,1
Royal Challengers Bangalore,Rising Pune Supergiants,1
Mumbai Indians,Kochi Tuskers Kerala,1
Gujarat Lions,Kolkata Knight Riders,1
Pune Warriors,Deccan Chargers,1
Pune Warriors,Royal Challengers Bangalore,1
Kochi Tuskers Kerala,Pune Warriors,1
Rising Pune Supergiants,Sunrisers Hyderabad,1
Rajasthan Royals,Kochi Tuskers Kerala,1
Kolkata Knight Riders,Rajasthan Royals,1
